SID | Code | Name
--------------------------------------------------------------------------------
  26 | LAS      | Little Angels School, Sonipat
  28 | CRSMJ    | Crescent School, Delhi
  31 | QMSRDL   | Queen Mary`s School, Rohini (2016)
  32 | MGSPV    | Mother’s Global School
  27 | CRSDG    | Crescent School, Daryaganj
  36 | TSJUP    | Jupsoft International School
  29 | JPSR     | JAYCEES PUBLIC SCHOOL, RUDRAPUR
  34 | RALLIJ   | Ralli International Kindergarten
  40 | QMSRTPT  | Queen Mary's School, Transport (2016)
  35 | RALLIS   | Ralli International School
  39 | JPSJR    | JPS Foundation
  33 | VJPS     | Vidya Jain Public School - OLD
  47 | QMSRDL   | Queen's Convent School
  48 | SNEHJR   | SNEH International School, Junior
  45 | SDJSSP   | SDJ Shishu Sadan
  38 | SNEHPV   | SNEH International School
  46 | QMSRJR   | Queen's Convent School, Junior
  44 | SSDJSS   | Shakuntla Devi Jethy Shishu Sadan
  53 | LASINC   | Little Angels Inclusive School, Sonipat
  30 | DPSRUP   | JUPSOFT PUBLIC SCHOOL
  49 | VISIPE   | Vivekanand International School
  43 | SISHGR   | SAI INTERNATIONAL SCHOOL
  42 | VPSGZBNLN | Nestling Nippers
  57 | HAJR     | H.A. JUNIOR SCHOOL
  37 | QMSMT    | QUEEN MARY'S SCHOOL, NORTHEND
  55 | SSSVV    | SRI SATHYA SAI VIDYA VIHAR, GAIL
  51 | PDPS     | PRABHU DAYAL PUBLIC SCHOOL
  56 | DMSVVD   | DAYANAND MODEL SCHOOL
  60 | JUPGS    | Jupsoft Systems Pvt Ltd
  50 | SAMVID   | Samvid Gurukulam Sr. Sec. School OLD
  52 | KRISDL   | Kasturi Ram International School
  41 | VPSGZB3  | VANASTHALI PUBLIC SCHOOL
  58 | AGSGZB   | ADHARSHEELA GLOBAL SCHOOL
  63 | QMSMTT   | Queen Marys School, Northend, Junior
  64 | HAJR     | H.A. JUNIOR SCHOOL
  74 | IAUHS    | Islamia Anglo Urdu High School
  59 | DHSBGP   | DIVINE HAPPY SCHOOL
  65 | HASR     | HILLWOODS ACADEMY
  54 | HASR     | HILLWOODS ACADEMY 2017
  72 | ABHS     | Anjuman Boys High School
  61 | VPSPVD   | Vanasthali Public School, Preet Vihar
  69 | APS      | Anjuman Urdu Primary School 
  82 | AIM      | Anjuman Institute of Management and Computer Appli
  83 | AITM     | Anjuman Institute of Technology and Management  OL
  94 | SRTEQ    | SRTEQ International School	
  73 | AEPS     | Anjuman English Medium Higher Primary School
  86 | SCHOLARS | THE SCHOLARS
  70 | AGHS     | Anjuman Girls High School  
  71 | AEMGHS   | Anjuman Girls English Medium High School
  66 | ANPS     | Anjuman Noor Primary School 
  76 | APUCB    | Anjuman Pre-University College for Boys OLD
  67 | AAPS     | Anjuman Azad Primary School 
  91 | PISSCL   | PUNE INTERNATIONAL SCHOOL
  84 | NEOSFT   | NEOSOFT SOLUTIONS
  77 | APUCW    | Anjuman Pre-University College for Women OLD
  78 | ALFITRAH | Alfitrah  Islamic Pre School
  62 | KDPSDL   | Khemo Devi Public School
  68 | ATPS     | Anjuman Noor Montessori School
  93 | SSLLP    | SONA INTERNATIONAL SCHOOL
  79 | ACFW     | Anjuman College for Women OLD
 102 | TMGS     | THE MAURYA GIRLS' SCHOOL
 112 | MMSNUJ   | Mother Mary School - OLD
  75 | IAUHNC   | Anjuman Hami-e-Muslimeen
 101 | MGMSGK   | MATA GUJRI MONTESSORI
  85 | CPLPIC   | C P L PUBLIC INTER COLLEGE
  90 | SAMVIDNG | Samvid Gurukulam Sr. Sec. School Nalagarh
  89 | TMSJR    | THE MAURYA SCHOOL, JUNIOR
 103 | XYZTST   | Bal Bhavan International School, Dwarka
  80 | ACE      | Anjuman College of Education OLD
 118 | SKPPWS   | S.K.P Prep World  School
  81 | AASC     | Anjuman Arts Commerce and Science college and PG C
  87 | MGPSGK   | MATA GUJRI PUBLIC SCHOOL
 111 | KDRAMD   | K.D.R Academy
 124 | PGSSBT   | Pinegrove School, Subathu
 104 | JAYJOT   | JAY JYOTI SCHOOL, GUNA
  88 | TMS      | THE MAURYA SCHOOL
 100 | NDELJK   | NEW DREAMLAND EDUCATIONAL INSTITUTE
 116 | MAXFRT   | Maxfort School Dwarka
 122 | STNFRD   | Stanford International School
  99 | DSJUP    | Default Settings
 114 | FISGND   | Florence International School
 121 | PRIMES   | Prime Education Public School
 115 | SKPPSD   | S.K. Payal Public School
 110 | SSRVSS   | SHREE SWAMI RAMANAND VIDYA SANKUL
  92 | AVCBSE   | ARYA VIDYAPITH
 128 | ASPS     |  Aadharshila Public School
 119 | VPSS10   | VANASTHALI PUBLIC SCHOOL, SECTOR-10
 127 | LGENIE   | Little Genie A Pre School
 123 | PGSDPR   | Pinegrove School, Dharampur
 120 | GSMGZB   | Geeta Sanjay Memorial Public School
 131 | VEDAS    | Vedas International School
 117 | MAXKID   | MAX KIDS DWARKA
 113 | GDGKPV   | GD Goenka International School
 129 | DEWAN    | Dewan Public School International
 126 | LKSGZB   | L.K. International School
 132 | SLCGRP   | St. Lawrence Convent
 125 | GPSGND   | GAGAN PUBLIC SCHOOL
 134 | DRINTS   | D.R. International School
 133 | MAPSDL   | Mount Abu Public School
 136 | ECKLIT   | Jupsoft School - Testing New
 130 | EZCAMPS  | EZ Campus Care Portal
 161 | CCSKTM   | City Convent School, Khatima - OLD
 151 | GDCAMB   | G.D Goenka Cambridge
 137 | SLHEDU   | St. Lawrence College of Higher Education
 147 | CAMPUS   | Campus School, Pantnagar - OLD
 159 | DETDDC   | Dogra Degree College
 140 | MNPS     | Modern National Public School
 141 | GPSDL    | Glory Public School
 157 | CLCRUP   | Chanakya Law College
 175 | JPISCL   | JP International School
 143 | VISJPR   | Vadanta International School
 173 | CCSKTM   | CITY CONVENT SCHOOL, KHATIMA
 153 | HMPS     | Harvest Mission Public School
